cast,director,opening_date,opening_year,title
"Sooraj Pancholi,Megha Akash",Irfan Kamal,2019-11-08,2019,Satellite Shankar
"Boman Irani,Tannishtha Chatterjee,Divya Dutta,Sanjay Suri,Yatin Karyekar,Akhilendra Mishra,Govind Namdev,Joy Sengupta",Brahmanand S. Siingh,2019-11-14,2019,Jhalki
"Ali Fazal,Shriya Pilgaonkar,Jim Sarbh",Shashanka Ghosh and Samit Basu,2019-11-15,2019,House Arrest
"Kiran Kumar,Shahbaz Khan",Raama Mehra,2019-11-15,2019,Keep Safe Distance
"Sidharth Malhotra,Riteish Deshmukh,Tara Sutaria,Rakul Preet Singh",Milap Milan Zaveri,2019-11-15,2019,Marjaavaan
"Nawazuddin Siddiqui,Athiya Shetty",Debamitra Biswal,2019-11-15,2019,Motichoor Chaknachoor
"Krishna Abhishek,Kashmera Shah,Rishaab Chauhaan",Kashmera Shah,2019-11-15,2019,Marne Bhi Do Yaaron
"Anil Kapoor,John Abraham,Ileana D'Cruz,Arshad Warsi,Pulkit Samrat,Kriti Kharbanda,Urvashi Rautela,Saurabh Shukla",Anees Bazmee,2019-11-22,2019,Pagalpanti
"Vidyut Jammwal,Adah Sharma,Angira Dhar,Gulshan Devaiah",Aditya Datt,2019-11-29,2019,Commando 3
"Vardhan Puri,Shivaleeka Oberoi",Cherag Ruparel,2019-11-29,2019,Yeh Saali Aashiqui
"Sanjay Dutt,Arjun Kapoor,Kriti Sanon,Mohnish Bahl",Ashutosh Gowariker,2019-12-06,2019,Panipat
"Kartik Aaryan,Bhumi Pednekar,Ananya Panday",Mudassar Aziz,2019-12-06,2019,Pati Patni Aur Woh
"Rani Mukerji,Vikram Singh Chauhan,Shruti Bapna,Rajesh Sharma,Sudhanshu Pandey",Gopi Puthran,2019-12-13,2019,Mardaani 2
"Emraan Hashmi,Rishi Kapoor,Vedhika,Sobhita Dhulipala",Jeethu Joseph,2019-12-13,2019,The Body
"Salman Khan,Sonakshi Sinha,Sudeep,Saiee Manjrekar,Arbaaz Khan",Prabhu Deva,2019-12-20,2019,Dabangg 3
"Brendan Fraser,Abhay Deol,Ronit Roy,Neeraj Kabi,Prem Chopra,Ali Haji",Rohit Karn Batra,2019-12-20,2019,Line of Descent[d]
"Pankaj Kapoor,Supriya Pathak,Hrishitaa Bhatt",Bhavna Talwar,2019-12-25,2019,Happi
"Akshay Kumar,Kareena Kapoor,Diljit Dosanjh,Kiara Advani",Raj Mehta,2019-12-27,2019,Good Newwz
